#{"t_start": 1629205224.2267869, "env_id": null}
r,l,t
-9.888889,2,15.883117
-9.555556,5,15.893119
-9.777778,3,15.901102
-9.555556,5,15.907028
-0.777778,3,15.907028
-0.666667,4,15.9227
-9.666667,4,15.941334
-9.888889,2,15.946317
-0.666667,4,15.957299
-0.666667,4,15.96924
-9.777778,3,16.006277
-9.777778,3,16.015257
-9.888889,2,16.021246
-0.777778,3,16.031144
-9.777778,3,16.039163
-9.777778,3,16.040486
-9.777778,3,16.056168
-9.666667,4,16.06857
-9.666667,4,16.079486
-9.777778,3,16.089426
-0.777778,3,16.099376
-0.666667,4,16.110284
-9.888889,2,16.117285
-0.777778,3,16.128235
-9.666667,4,16.1392
-9.888889,2,16.147129
-0.777778,3,16.157158
-9.777778,3,16.165929
-0.777778,3,16.176523
-9.666667,4,16.18636
-9.666667,4,16.19761
-0.777778,3,16.20658
-9.777778,3,16.214786
-0.777778,3,16.224754
-9.888889,2,16.229741
-9.888889,2,16.235677
-9.666667,4,16.244686
-0.666667,4,16.254611
-9.666667,4,16.264479
-9.777778,3,16.272547
-0.777778,3,16.275798
-0.777778,3,16.275798
-9.777778,3,16.291461
-9.777778,3,16.291461
-9.777778,3,16.307085
-9.777778,3,16.307085
-9.777778,3,16.322708
-0.777778,3,16.338341
-0.777778,3,16.338341
-0.777778,3,16.353956
-0.777778,3,16.353956
-9.888889,2,16.398456
-9.888889,2,16.404435
-9.777778,3,16.41523
-9.888889,2,16.421979
-0.666667,4,16.436928
-9.777778,3,16.447386
-9.777778,3,16.458346
-9.666667,4,16.4705
-9.666667,4,16.483514
-9.777778,3,16.496519
-9.666667,4,16.508724
-9.777778,3,16.518867
-9.666667,4,16.532833
-0.777778,3,16.543755
-0.666667,4,16.555761
-0.666667,4,16.569145
-9.555556,5,16.583102
-9.666667,4,16.595067
-0.777778,3,16.60503
-9.777778,3,16.616107
-9.777778,3,16.625114
-9.777778,3,16.63409
-9.777778,3,16.642057
-9.777778,3,16.650038
-9.888889,2,16.655028
-9.777778,3,16.656597
-9.666667,4,16.672273
-9.777778,3,16.672273
-9.777778,3,16.687892
-9.888889,2,16.687892
-9.777778,3,16.687892
-9.888889,2,16.703467
-9.888889,2,16.703467
-9.888889,2,16.703467
-9.555556,5,16.719091
-9.666667,4,16.734757
-9.777778,3,16.734757
-0.777778,3,16.75145
-9.888889,2,16.75145
-9.666667,4,16.767121
-9.777778,3,16.767121
-0.777778,3,16.806506
-9.666667,4,16.822196
-9.777778,3,16.822196
-9.777778,3,16.840665
-9.777778,3,16.849137
-9.777778,3,16.858104
-9.777778,3,16.866038
-9.888889,2,16.871071
-9.888889,2,16.872989
-0.777778,3,16.872989
-9.777778,3,16.888669
-9.555556,5,16.888669
-9.777778,3,16.904292
-9.777778,3,16.919975
-9.888889,2,16.919975
-0.777778,3,16.919975
-9.777778,3,16.935534
-9.888889,2,16.935534
-9.666667,4,16.951152
-9.777778,3,16.951152
-9.777778,3,16.966778
-9.777778,3,16.966778
-9.666667,4,16.982391
-9.777778,3,16.997976
-0.777778,3,16.997976
-9.777778,3,17.013648
-0.666667,4,17.013648
-9.777778,3,17.029271
-9.666667,4,17.029271
-9.777778,3,17.044901
-9.666667,4,17.044901
-9.777778,3,17.066405
-9.777778,3,17.073435
-9.666667,4,17.083372
-0.777778,3,17.091324
-9.777778,3,17.099347
-0.777778,3,17.108281
-0.777778,3,17.117337
-0.777778,3,17.125308
-9.777778,3,17.133276
-9.777778,3,17.141214
-0.777778,3,17.176852
-9.777778,3,17.18582
-0.777778,3,17.195785
-9.777778,3,17.203862
-9.666667,4,17.212883
-0.777778,3,17.222846
-0.777778,3,17.230777
-9.777778,3,17.238808
-0.777778,3,17.24787
-0.777778,3,17.256919
-9.555556,5,17.266807
-0.777778,3,17.27582
-9.666667,4,17.284758
-0.777778,3,17.292782
-0.777778,3,17.300733
-0.777778,3,17.309795
-0.777778,3,17.317794
-9.777778,3,17.325794
-0.777778,3,17.326986
-9.777778,3,17.342651
-0.777778,3,17.342651
-0.777778,3,17.358288
-9.888889,2,17.358288
-9.555556,5,17.373857
-0.777778,3,17.373857
-9.888889,2,17.373857
-9.777778,3,17.389521
-9.777778,3,17.389521
-9.888889,2,17.405146
-0.777778,3,17.405146
-0.777778,3,17.420775
-0.777778,3,17.420775
-9.777778,3,17.436391
-9.777778,3,17.452014
-0.777778,3,17.452014
-0.777778,3,17.472058
-9.666667,4,17.472058
-9.777778,3,17.487733
-9.888889,2,17.487733
0.444444,5,17.503353
-0.777778,3,17.518971
-9.777778,3,17.554858
-9.777778,3,17.564046
-0.777778,3,17.573019
-9.777778,3,17.582045
-0.777778,3,17.590231
-0.777778,3,17.590231
-9.666667,4,17.605897
-9.666667,4,17.605897
-0.777778,3,17.621526
-0.777778,3,17.621526
-9.777778,3,17.637145
-0.777778,3,17.637145
-9.888889,2,17.652766
-0.777778,3,17.652766
-0.777778,3,17.668406
-9.555556,5,17.668406
-9.888889,2,17.684013
-0.777778,3,17.684013
-9.888889,2,17.699648
-0.777778,3,17.699648
-9.777778,3,17.716423
-0.777778,3,17.716423
-9.888889,2,17.716423
-9.888889,2,17.732089
-0.777778,3,17.732089
-9.777778,3,17.747729
-0.777778,3,17.747729
-9.777778,3,17.763344
-9.888889,2,17.763344
-9.666667,4,17.778969
-9.777778,3,17.778969
-0.777778,3,17.794591
-0.777778,3,17.794591
-9.777778,3,17.810219
-9.777778,3,17.810219
-9.666667,4,17.825846
-9.888889,2,17.825846
-9.777778,3,17.84146
-0.777778,3,17.84146
-9.777778,3,17.857088
-0.777778,3,17.857088
-9.777778,3,17.872712
1.333333,4,17.903907
-9.777778,3,17.923231
-9.777778,3,17.930255
-9.666667,4,17.940234
-0.777778,3,17.948218
-0.777778,3,17.956247
-0.777778,3,17.956247
-0.777778,3,17.971911
-0.666667,4,17.971911
-9.666667,4,17.987542
-9.777778,3,17.987542
-9.777778,3,18.003165
-0.777778,3,18.003165
-0.777778,3,18.018787
-0.777778,3,18.018787
-9.666667,4,18.034382
-0.777778,3,18.050411
-0.666667,4,18.062422
-9.666667,4,18.071382
-9.888889,2,18.076374
-9.777778,3,18.084314
-9.888889,2,18.08933
-0.777778,3,18.097292
-9.777778,3,18.105272
-0.777778,3,18.113343
-0.666667,4,18.122358
-9.777778,3,18.130335
-9.777778,3,18.137305
-9.888889,2,18.143259
-9.777778,3,18.150264
-0.777778,3,18.159234
-0.777778,3,18.167164
-9.888889,2,18.172195
-0.777778,3,18.181157
-0.777778,3,18.189133
-0.666667,4,18.198101
-9.555556,5,18.208025
-9.555556,5,18.218034
-9.888889,2,18.223021
-9.555556,5,18.232961
-9.777778,3,18.268052
-9.888889,2,18.275303
-0.777778,3,18.284257
1.333333,4,18.295462
-9.888889,2,18.301448
-9.777778,3,18.310416
-0.777778,3,18.319441
-0.777778,3,18.329405
-9.666667,4,18.338369
-9.666667,4,18.347333
-9.777778,3,18.355479
-0.777778,3,18.365006
-9.777778,3,18.371986
-9.666667,4,18.376236
-9.666667,4,18.376236
-9.777778,3,18.396855
-9.888889,2,18.396855
-9.666667,4,18.412531
-9.666667,4,18.412531
-0.777778,3,18.428147
-9.888889,2,18.428147
-9.777778,3,18.443778
-0.777778,3,18.443778
-9.666667,4,18.459408
-0.666667,4,18.475016
-0.777778,3,18.475016
-9.777778,3,18.490648
-9.666667,4,18.490648
-0.777778,3,18.506263
-0.777778,3,18.506263
-0.777778,3,18.521886
-0.777778,3,18.537467
-9.777778,3,18.537467
-0.777778,3,18.553139
-9.888889,2,18.553139
-9.888889,2,18.553139
-9.888889,2,18.568768
-0.777778,3,18.568768
-0.777778,3,18.584382
-0.777778,3,18.584382
-9.666667,4,18.601138
-9.666667,4,18.642247
-9.666667,4,18.65397
-9.777778,3,18.662255
-9.666667,4,18.671256
-0.777778,3,18.68035
-9.777778,3,18.688551
-9.888889,2,18.688551
-0.777778,3,18.688551
-0.777778,3,18.704174
-0.777778,3,18.719846
-9.666667,4,18.719846
-9.888889,2,18.719846
-0.777778,3,18.735464
-9.888889,2,18.735464
-9.666667,4,18.751093
-9.888889,2,18.751093
-9.666667,4,18.766696
-0.777778,3,18.766696
-0.777778,3,18.782343
